Date,Open*,High,Low,Close**,Volume,Market Cap
4/3/2022,$0.07,$0.07,$0.07,$0.07,"$32,111,722","$763,957,406"
4/2/2022,$0.07,$0.08,$0.07,$0.07,"$54,695,813","$743,650,174"
4/1/2022,$0.07,$0.07,$0.07,$0.07,"$57,101,362","$767,354,305"
3/31/2022,$0.07,$0.08,$0.07,$0.07,"$91,806,343","$726,725,783"
3/30/2022,$0.07,$0.07,$0.07,$0.07,"$44,280,847","$734,567,560"
3/29/2022,$0.07,$0.07,$0.07,$0.07,"$54,815,865","$725,608,919"
3/28/2022,$0.07,$0.07,$0.07,$0.07,"$63,357,002","$714,999,946"
3/27/2022,$0.07,$0.07,$0.07,$0.07,"$146,610,723","$758,883,307"
3/26/2022,$0.06,$0.07,$0.06,$0.07,"$66,029,300","$692,870,825"
3/25/2022,$0.06,$0.06,$0.06,$0.06,"$32,797,820","$633,916,352"
3/24/2022,$0.06,$0.07,$0.06,$0.07,"$49,819,085","$681,067,645"
3/23/2022,$0.06,$0.06,$0.06,$0.06,"$80,560,835","$658,949,809"
3/22/2022,$0.06,$0.06,$0.06,$0.06,"$38,578,429","$599,240,809"
3/21/2022,$0.05,$0.06,$0.05,$0.06,"$47,317,174","$591,689,472"
3/20/2022,$0.06,$0.06,$0.05,$0.05,"$39,900,894","$575,691,793"
3/19/2022,$0.05,$0.06,$0.05,$0.06,"$91,229,218","$619,389,346"
3/18/2022,$0.05,$0.05,$0.05,$0.05,"$25,129,646","$560,653,559"
3/17/2022,$0.05,$0.05,$0.05,$0.05,"$21,166,300","$537,079,418"
3/16/2022,$0.05,$0.05,$0.05,$0.05,"$28,195,097","$549,101,634"
3/15/2022,$0.05,$0.05,$0.05,$0.05,"$26,840,866","$524,542,462"
3/14/2022,$0.05,$0.05,$0.05,$0.05,"$17,390,065","$536,355,719"
3/13/2022,$0.05,$0.05,$0.05,$0.05,"$18,668,521","$515,801,143"
3/12/2022,$0.05,$0.05,$0.05,$0.05,"$21,152,429","$536,240,720"
3/11/2022,$0.05,$0.05,$0.05,$0.05,"$22,212,061","$523,500,479"
3/10/2022,$0.06,$0.06,$0.05,$0.05,"$24,711,632","$548,437,298"
3/9/2022,$0.05,$0.06,$0.05,$0.06,"$28,641,673","$577,132,654"
3/8/2022,$0.05,$0.05,$0.05,$0.05,"$24,238,888","$539,169,466"
3/7/2022,$0.05,$0.05,$0.05,$0.05,"$26,845,371","$539,482,884"
